start_article_title,starter_article_url,selection_strat,hops_to_phil
Benignus of Dijon,https://en.wikipedia.org/wiki/Benignus_of_Dijon,EMBEDDING_WORD2VEC,10

Municipal Tramways Trust,https://en.wikipedia.org/wiki/Municipal_Tramways_Trust,WORDNET,11

Municipal Tramways Trust,https://en.wikipedia.org/wiki/Municipal_Tramways_Trust,NTH_LINK(2),16

Dedicato,https://en.wikipedia.org/wiki/Dedicato,WORDNET,6

Fathers' Day (1997 film),https://en.wikipedia.org/wiki/Fathers%27_Day_(1997_film),WORDNET,11

Fathers' Day (1997 film),https://en.wikipedia.org/wiki/Fathers%27_Day_(1997_film),NTH_LINK(2),49

Beersheba bus bombings,https://en.wikipedia.org/wiki/Beersheba_bus_bombings,WORDNET,9

Beersheba bus bombings,https://en.wikipedia.org/wiki/Beersheba_bus_bombings,NTH_LINK(2),16

Marco Dimitri,https://en.wikipedia.org/wiki/Marco_Dimitri,EMBEDDING_WORD2VEC,9

1959 Boston University Terriers football team,https://en.wikipedia.org/wiki/1959_Boston_University_Terriers_football_team,NTH_LINK(2),40

Kiko García (cyclist),https://en.wikipedia.org/wiki/Kiko_Garc%C3%ADa_(cyclist),NTH_LINK(2),17

Kiko García (cyclist),https://en.wikipedia.org/wiki/Kiko_Garc%C3%ADa_(cyclist),EMBEDDING_WORD2VEC,6

Informant Questionnaire on Cognitive Decline in the Elderly,https://en.wikipedia.org/wiki/Informant_Questionnaire_on_Cognitive_Decline_in_the_Elderly,NTH_LINK(2),9

Jens Christian Hostrup,https://en.wikipedia.org/wiki/Jens_Christian_Hostrup,EMBEDDING_WORD2VEC,4

2005 Internationaux de Strasbourg,https://en.wikipedia.org/wiki/2005_Internationaux_de_Strasbourg,NTH_LINK(2),48

Schmitzer,https://en.wikipedia.org/wiki/Schmitzer,NTH_LINK(2),21

Schmitzer,https://en.wikipedia.org/wiki/Schmitzer,EMBEDDING_WORD2VEC,10

Rodney Hall (writer),https://en.wikipedia.org/wiki/Rodney_Hall_(writer),WORDNET,6

Rodney Hall (writer),https://en.wikipedia.org/wiki/Rodney_Hall_(writer),NTH_LINK(2),41

Fight That Ghost,https://en.wikipedia.org/wiki/Fight_That_Ghost,NTH_LINK(2),39

Fight That Ghost,https://en.wikipedia.org/wiki/Fight_That_Ghost,EMBEDDING_WORD2VEC,9

Coleotechnites petulans,https://en.wikipedia.org/wiki/Coleotechnites_petulans,NTH_LINK(2),4

Coleotechnites petulans,https://en.wikipedia.org/wiki/Coleotechnites_petulans,EMBEDDING_WORD2VEC,3

"Oh, Mr Porter!","https://en.wikipedia.org/wiki/Oh,_Mr_Porter!",WORDNET,8

"Oh, Mr Porter!","https://en.wikipedia.org/wiki/Oh,_Mr_Porter!",NTH_LINK(2),14

Jason Lillis,https://en.wikipedia.org/wiki/Jason_Lillis,NTH_LINK(2),24

Untold Stories (Kathy Mattea song),https://en.wikipedia.org/wiki/Untold_Stories_(Kathy_Mattea_song),EMBEDDING_WORD2VEC,8

Joseph Darlington,https://en.wikipedia.org/wiki/Joseph_Darlington,EMBEDDING_WORD2VEC,8

London Pulse,https://en.wikipedia.org/wiki/London_Pulse,WORDNET,8

London Pulse,https://en.wikipedia.org/wiki/London_Pulse,NTH_LINK(2),18

Bell FCX-001,https://en.wikipedia.org/wiki/Bell_FCX-001,NTH_LINK(2),40

Netherne-on-the-Hill,https://en.wikipedia.org/wiki/Netherne-on-the-Hill,NTH_LINK(2),8

