start_article_title,starter_article_url,selection_strat,hops_to_phil
Klassische Philharmonie Bonn,https://en.wikipedia.org/wiki/Klassische_Philharmonie_Bonn,EMBEDDING_WORD2VEC,7

Girlfriends' Guide to Divorce,https://en.wikipedia.org/wiki/Girlfriends%27_Guide_to_Divorce,WORDNET,10

Girlfriends' Guide to Divorce,https://en.wikipedia.org/wiki/Girlfriends%27_Guide_to_Divorce,NTH_LINK(1),10

Girlfriends' Guide to Divorce,https://en.wikipedia.org/wiki/Girlfriends%27_Guide_to_Divorce,EMBEDDING_WORD2VEC,6

Regina Hillsdale,https://en.wikipedia.org/wiki/Regina_Hillsdale,WORDNET,8

Regina Hillsdale,https://en.wikipedia.org/wiki/Regina_Hillsdale,NTH_LINK(1),19

Regina Hillsdale,https://en.wikipedia.org/wiki/Regina_Hillsdale,EMBEDDING_WORD2VEC,12

Robert Mangold,https://en.wikipedia.org/wiki/Robert_Mangold,WORDNET,8

Robert Mangold,https://en.wikipedia.org/wiki/Robert_Mangold,NTH_LINK(1),18

Robert Mangold,https://en.wikipedia.org/wiki/Robert_Mangold,EMBEDDING_WORD2VEC,8

Akiko Kobayashi (voice actress),https://en.wikipedia.org/wiki/Akiko_Kobayashi_(voice_actress),WORDNET,9

Akiko Kobayashi (voice actress),https://en.wikipedia.org/wiki/Akiko_Kobayashi_(voice_actress),NTH_LINK(1),24

Akiko Kobayashi (voice actress),https://en.wikipedia.org/wiki/Akiko_Kobayashi_(voice_actress),EMBEDDING_WORD2VEC,8

Saint Laurent (film),https://en.wikipedia.org/wiki/Saint_Laurent_(film),WORDNET,5

Saint Laurent (film),https://en.wikipedia.org/wiki/Saint_Laurent_(film),NTH_LINK(1),10

Saint Laurent (film),https://en.wikipedia.org/wiki/Saint_Laurent_(film),EMBEDDING_WORD2VEC,7

Franz-Josef Deiters,https://en.wikipedia.org/wiki/Franz-Josef_Deiters,WORDNET,3

Franz-Josef Deiters,https://en.wikipedia.org/wiki/Franz-Josef_Deiters,NTH_LINK(1),37

Franz-Josef Deiters,https://en.wikipedia.org/wiki/Franz-Josef_Deiters,EMBEDDING_WORD2VEC,3

Appling v. Walker,https://en.wikipedia.org/wiki/Appling_v._Walker,WORDNET,8

Appling v. Walker,https://en.wikipedia.org/wiki/Appling_v._Walker,NTH_LINK(1),6

Appling v. Walker,https://en.wikipedia.org/wiki/Appling_v._Walker,EMBEDDING_WORD2VEC,7

Athlete (disambiguation),https://en.wikipedia.org/wiki/Athlete_(disambiguation),WORDNET,6

Athlete (disambiguation),https://en.wikipedia.org/wiki/Athlete_(disambiguation),NTH_LINK(1),18

Athlete (disambiguation),https://en.wikipedia.org/wiki/Athlete_(disambiguation),EMBEDDING_WORD2VEC,4

Stephen Amell,https://en.wikipedia.org/wiki/Stephen_Amell,WORDNET,7

Stephen Amell,https://en.wikipedia.org/wiki/Stephen_Amell,NTH_LINK(1),17

Stephen Amell,https://en.wikipedia.org/wiki/Stephen_Amell,EMBEDDING_WORD2VEC,11

Clover (album),https://en.wikipedia.org/wiki/Clover_(album),WORDNET,6

Clover (album),https://en.wikipedia.org/wiki/Clover_(album),NTH_LINK(1),18

Clover (album),https://en.wikipedia.org/wiki/Clover_(album),EMBEDDING_WORD2VEC,11

Masu Bhurgri,https://en.wikipedia.org/wiki/Masu_Bhurgri,WORDNET,7

Masu Bhurgri,https://en.wikipedia.org/wiki/Masu_Bhurgri,NTH_LINK(1),27

Masu Bhurgri,https://en.wikipedia.org/wiki/Masu_Bhurgri,EMBEDDING_WORD2VEC,8

Treasons Act 1649,https://en.wikipedia.org/wiki/Treasons_Act_1649,WORDNET,8

Treasons Act 1649,https://en.wikipedia.org/wiki/Treasons_Act_1649,NTH_LINK(1),21

Treasons Act 1649,https://en.wikipedia.org/wiki/Treasons_Act_1649,EMBEDDING_WORD2VEC,6

Ferkauf Graduate School of Psychology,https://en.wikipedia.org/wiki/Ferkauf_Graduate_School_of_Psychology,WORDNET,6

Ferkauf Graduate School of Psychology,https://en.wikipedia.org/wiki/Ferkauf_Graduate_School_of_Psychology,NTH_LINK(1),37

Ferkauf Graduate School of Psychology,https://en.wikipedia.org/wiki/Ferkauf_Graduate_School_of_Psychology,EMBEDDING_WORD2VEC,6

The New Arab,https://en.wikipedia.org/wiki/The_New_Arab,WORDNET,7

The New Arab,https://en.wikipedia.org/wiki/The_New_Arab,NTH_LINK(1),18

The New Arab,https://en.wikipedia.org/wiki/The_New_Arab,EMBEDDING_WORD2VEC,4

Keene Champs,https://en.wikipedia.org/wiki/Keene_Champs,WORDNET,8

Keene Champs,https://en.wikipedia.org/wiki/Keene_Champs,NTH_LINK(1),22

Keene Champs,https://en.wikipedia.org/wiki/Keene_Champs,EMBEDDING_WORD2VEC,5

Diabelli Variations (album),https://en.wikipedia.org/wiki/Diabelli_Variations_(album),WORDNET,5

Diabelli Variations (album),https://en.wikipedia.org/wiki/Diabelli_Variations_(album),NTH_LINK(1),27

Diabelli Variations (album),https://en.wikipedia.org/wiki/Diabelli_Variations_(album),EMBEDDING_WORD2VEC,7

San Marino in the Eurovision Song Contest 2020,https://en.wikipedia.org/wiki/San_Marino_in_the_Eurovision_Song_Contest_2020,WORDNET,11

San Marino in the Eurovision Song Contest 2020,https://en.wikipedia.org/wiki/San_Marino_in_the_Eurovision_Song_Contest_2020,NTH_LINK(1),19

San Marino in the Eurovision Song Contest 2020,https://en.wikipedia.org/wiki/San_Marino_in_the_Eurovision_Song_Contest_2020,EMBEDDING_WORD2VEC,8

Harry S Truman State Park,https://en.wikipedia.org/wiki/Harry_S_Truman_State_Park,WORDNET,7

Harry S Truman State Park,https://en.wikipedia.org/wiki/Harry_S_Truman_State_Park,NTH_LINK(1),20

Harry S Truman State Park,https://en.wikipedia.org/wiki/Harry_S_Truman_State_Park,EMBEDDING_WORD2VEC,5

"Thinthirineesvarar Temple, Tindivanam","https://en.wikipedia.org/wiki/Thinthirineesvarar_Temple,_Tindivanam",WORDNET,5

"Thinthirineesvarar Temple, Tindivanam","https://en.wikipedia.org/wiki/Thinthirineesvarar_Temple,_Tindivanam",NTH_LINK(1),20

"Thinthirineesvarar Temple, Tindivanam","https://en.wikipedia.org/wiki/Thinthirineesvarar_Temple,_Tindivanam",EMBEDDING_WORD2VEC,14

Tom Blankenship,https://en.wikipedia.org/wiki/Tom_Blankenship,WORDNET,16

Tom Blankenship,https://en.wikipedia.org/wiki/Tom_Blankenship,NTH_LINK(1),24

Tom Blankenship,https://en.wikipedia.org/wiki/Tom_Blankenship,EMBEDDING_WORD2VEC,7

Alex Stewart (boxer),https://en.wikipedia.org/wiki/Alex_Stewart_(boxer),WORDNET,10

Alex Stewart (boxer),https://en.wikipedia.org/wiki/Alex_Stewart_(boxer),NTH_LINK(1),21

Alex Stewart (boxer),https://en.wikipedia.org/wiki/Alex_Stewart_(boxer),EMBEDDING_WORD2VEC,9

Thrissur Corporation Electricity Department,https://en.wikipedia.org/wiki/Thrissur_Corporation_Electricity_Department,WORDNET,8

Thrissur Corporation Electricity Department,https://en.wikipedia.org/wiki/Thrissur_Corporation_Electricity_Department,NTH_LINK(1),20

Thrissur Corporation Electricity Department,https://en.wikipedia.org/wiki/Thrissur_Corporation_Electricity_Department,EMBEDDING_WORD2VEC,13

Joseph Bankman,https://en.wikipedia.org/wiki/Joseph_Bankman,WORDNET,7

Joseph Bankman,https://en.wikipedia.org/wiki/Joseph_Bankman,NTH_LINK(1),21

Joseph Bankman,https://en.wikipedia.org/wiki/Joseph_Bankman,EMBEDDING_WORD2VEC,8

Irish Medical Times,https://en.wikipedia.org/wiki/Irish_Medical_Times,WORDNET,10

Irish Medical Times,https://en.wikipedia.org/wiki/Irish_Medical_Times,NTH_LINK(1),19

Irish Medical Times,https://en.wikipedia.org/wiki/Irish_Medical_Times,EMBEDDING_WORD2VEC,12

